Таблица времени выполнения сортировок


Быстрая   Вставками   Выбором    Пузырьком
10	  10 	      10 	 10
0.01344   0.00194     0.00904    0.00794
100	  100         100        100
0.15007   0.01563     0.27714    0.34616
1000      1000        1000       1000
0.94582	  0.18892     26.4389    36.4701

Слиянием  Шейкерной   sorted     sort
10 	  10          10         10
0.01268   0.00775     0.00047    0.00020
100       100         100        100
0.19424   0.34443     0.00580    0.00068
1000      1000        1000       1000
2.73618   38.3534     0.08696    0.00895








