N	Memory
10	0.015625
1010	0.078125
2010	0.09765625
3010	0.171875
4010	0.03125
5010	0.0625
6010	0.28125
7010	0.6171875
8010	0.5546875
9010	0.5859375
10010	0.5859375
11010	1.1796875
12010	0.984375
13010	1.0546875
14010	0.9921875
15010	1.0546875
16010	0.9921875
17010	1.0234375
18010	1.01953125
19010	1.1796875
20010	0.9921875
21010	0.9921875
22010	1.25390625
23010	1.25390625
24010	1.25390625
25010	1.28125
26010	1.53515625
27010	1.4453125
28010	1.25390625
29010	1.44140625
30010	1.31640625
31010	1.25390625
32010	1.25390625
33010	1.28515625
34010	1.53125
35010	1.56640625
36010	1.37890625
37010	1.44140625
38010	1.50390625
39010	1.56640625
40010	1.25390625
41010	1.53515625
42010	1.78515625
43010	1.81640625
44010	2.75390625
45010	2.62890625
46010	2.69140625
47010	2.81640625
48010	2.75390625
49010	2.53515625
50010	2.78125
51010	2.81640625
52010	2.75390625
53010	2.81640625
54010	2.75390625
55010	2.81640625
56010	2.75390625
57010	2.78125
58010	3.03515625
59010	3.0703125
60010	3.00390625
61010	3.06640625
62010	3.00390625
63010	3.06640625
64010	3.00390625
65010	3.02734375
66010	3.28125
67010	3.32421875
68010	3.25390625
69010	3.31640625
70010	3.25390625
71010	3.31640625
72010	3.25390625
73010	3.27734375
74010	3.53515625
75010	3.57421875
76010	3.50390625
77010	3.56640625
78010	3.50390625
79010	3.56640625
80010	3.50390625
81010	3.5234375
82010	3.78125
83010	3.828125
84010	3.75390625
85010	3.81640625
86010	3.75390625
87010	3.81640625
88010	6.25390625
89010	6.2734375
90010	6.53515625
91010	6.578125
92010	6.50390625
93010	6.56640625
94010	6.50390625
95010	6.56640625
96010	6.50390625
97010	6.51953125
98010	6.78125
99010	6.83203125
100010	6.75390625
101010	6.81640625
102010	6.75390625
103010	6.81640625
104010	6.75390625
105010	6.76953125
106010	7.03515625
107010	7.08203125
108010	7.00390625
109010	7.06640625
110010	7.00390625
111010	7.06640625
112010	7.00390625
113010	6.76953125
114010	7.03125
115010	7.08203125
116010	7.00390625
117010	7.06640625
118010	7.00390625
119010	7.06640625
120010	7.00390625
121010	7.01953125
122010	7.28515625
123010	7.33203125
124010	7.25390625
125010	7.31640625
126010	7.28515625
127010	7.31640625
128010	7.25390625
129010	7.265625
130010	7.53515625
131010	7.5859375
132010	7.50390625
133010	7.56640625
134010	7.50390625
135010	7.56640625
136010	7.50390625
137010	7.515625
138010	7.78515625
139010	7.8359375
140010	7.75390625
141010	7.81640625
142010	7.75390625
143010	7.81640625
144010	7.75390625
145010	7.76171875
146010	8.03515625
147010	8.08984375
148010	8.00390625
149010	8.06640625
150010	8.00390625
151010	8.06640625
152010	8.00390625
153010	8.01171875
154010	8.28515625
155010	8.33984375
156010	8.25390625
157010	8.31640625
158010	8.25390625
159010	8.31640625
160010	8.25390625
161010	8.2578125
162010	8.53515625
163010	8.59375
164010	8.50390625
165010	8.56640625
166010	8.50390625
167010	8.56640625
168010	8.50390625
169010	8.5078125
170010	8.78515625
171010	8.84375
172010	8.75390625
173010	8.81640625
174010	8.75390625
175010	13.81640625
176010	13.50390625
177010	13.5078125
178010	13.78515625
179010	13.84375
180010	13.75390625
181010	13.81640625
182010	13.75390625
183010	13.81640625
184010	13.75390625
185010	13.7578125
186010	14.03515625
187010	14.09375
188010	14.00390625
189010	14.06640625
190010	14.00390625
191010	14.00390625
192010	14.00390625
193010	14.00390625
194010	14.03515625
195010	14.28515625
196010	14.31640625
197010	14.25390625
198010	14.31640625
199010	14.25390625
200010	14.31640625
201010	14.25390625
202010	14.28515625
203010	14.53515625
204010	14.56640625
205010	14.50390625
206010	14.56640625
207010	14.50390625
208010	14.56640625
209010	14.50390625
210010	14.53125
211010	14.78515625
212010	14.8203125
213010	14.75390625
214010	14.81640625
215010	14.75390625
216010	14.81640625
217010	14.75390625
218010	14.78125
219010	15.03515625
220010	15.0703125
221010	14.953125
222010	15.06640625
223010	15.00390625
224010	15.06640625
225010	15.00390625
226010	15.02734375
227010	15.28515625
228010	15.32421875
229010	15.25390625
230010	15.31640625
231010	15.25390625
232010	15.31640625
233010	15.25390625
234010	15.28125
235010	15.53515625
236010	15.5703125
237010	15.50390625
238010	15.56640625
239010	15.25390625
240010	15.31640625
241010	15.25390625
242010	15.27734375
243010	15.53515625
244010	15.57421875
245010	15.50390625
246010	15.56640625
247010	15.50390625
248010	15.56640625
249010	15.50390625
250010	15.52734375
251010	15.78515625
252010	15.82421875
253010	15.75390625
254010	15.81640625
255010	15.75390625
256010	15.81640625
257010	15.75390625
258010	15.7734375
259010	16.03515625
260010	16.078125
261010	16.00390625
262010	16.06640625
263010	16.00390625
264010	16.06640625
265010	16.00390625
266010	16.0234375
267010	16.28515625
268010	16.328125
269010	16.25390625
270010	16.31640625
271010	16.25390625
272010	16.31640625
273010	16.25390625
274010	16.26953125
275010	16.53515625
276010	16.58203125
277010	16.50390625
278010	16.56640625
279010	16.50390625
280010	16.56640625
281010	16.50390625
282010	16.51953125
283010	16.78515625
284010	16.83203125
285010	16.75390625
286010	16.81640625
287010	16.75390625
288010	16.81640625
289010	16.75390625
290010	16.765625
291010	17.03515625
292010	17.0859375
293010	17.00390625
294010	17.06640625
295010	17.00390625
296010	17.06640625
297010	17.00390625
298010	17.01953125
299010	17.28515625
300010	17.33203125
301010	17.25390625
302010	17.06640625
303010	17.00390625
304010	17.06640625
305010	17.00390625
306010	17.015625
