N	Memory
10	0.015625
1010	0.0546875
2010	0.1015625
3010	-0.08203125
4010	0.00390625
5010	0.03125
6010	0.03125
7010	0.0625
8010	0.0
9010	0.03125
10010	0.03125
11010	0.05859375
12010	0.0
13010	0.0625
14010	0.0
15010	0.0625
16010	0.0
17010	-0.21875
18010	0.27734375
19010	-0.18359375
20010	0.0
21010	0.0625
22010	0.0
23010	0.0625
24010	0.0
25010	-0.22265625
26010	0.03125
27010	0.03125
28010	0.03515625
29010	0.0625
30010	0.0
31010	0.0625
32010	0.25
33010	-0.46484375
34010	0.27734375
35010	-0.18359375
36010	-0.00390625
37010	0.06640625
38010	0.0
39010	0.0625
40010	0.0
41010	-0.22265625
42010	0.03125
43010	0.06640625
44010	0.0
45010	0.0625
46010	0.0
47010	0.0625
48010	0.0
49010	0.0234375
50010	0.03125
51010	0.0703125
52010	0.0
53010	0.0625
54010	0.0
55010	0.0625
56010	0.0
57010	-0.2265625
58010	0.03125
59010	0.0703125
60010	0.0
61010	0.0625
62010	0.0
63010	0.0625
64010	0.25
65010	-0.48046875
66010	0.03125
67010	0.07421875
68010	0.0
69010	0.0625
70010	0.0
71010	0.0625
72010	0.0
73010	-0.23046875
74010	0.03125
75010	0.07421875
76010	0.25
77010	0.0625
78010	0.0
79010	0.0625
80010	0.25
81010	0.015625
82010	-0.21875
83010	0.078125
84010	0.0
85010	0.0625
86010	0.0
87010	0.0625
88010	0.0
89010	-0.234375
90010	0.03125
91010	0.078125
92010	0.0
93010	0.0625
94010	0.0
95010	0.0625
96010	0.0
97010	0.01171875
98010	-0.21875
99010	0.08203125
100010	0.0
101010	0.0625
102010	0.0
103010	0.0625
104010	0.0
105010	-0.23828125
106010	0.03515625
107010	0.078125
108010	0.0
109010	0.0625
110010	0.0
111010	0.3125
112010	0.0
113010	-0.48828125
114010	0.03125
115010	0.08203125
116010	0.0
117010	0.0625
118010	0.0
119010	0.0625
120010	0.0
121010	-0.23828125
122010	0.03125
123010	0.08203125
124010	0.0
125010	0.0625
126010	0.03515625
127010	0.0625
128010	0.25
129010	-0.4921875
130010	0.03125
131010	0.0859375
132010	-0.0234375
133010	0.0859375
134010	0.0
135010	0.0625
136010	0.0
137010	-0.2421875
138010	0.03125
139010	0.0859375
140010	-0.0234375
141010	0.0859375
142010	0.25
143010	-0.1875
144010	0.25
145010	-0.49609375
146010	0.03125
147010	0.08984375
148010	0.0
149010	0.0625
150010	0.0
151010	0.0625
152010	0.0
153010	-0.2421875
154010	0.03125
155010	0.0859375
156010	0.0
157010	0.0625
158010	0.0
159010	0.0625
160010	0.25
161010	-0.24609375
162010	0.03125
163010	0.08984375
164010	0.0
165010	0.0625
166010	0.0
167010	0.0625
168010	0.0
169010	-0.24609375
170010	0.03125
171010	0.08984375
172010	0.0
173010	0.0625
174010	0.0
175010	0.0
176010	0.3125
177010	0.0
178010	-0.21875
179010	0.03125
180010	0.0625
181010	0.0
182010	0.0625
183010	0.0
184010	0.0625
185010	0.0
186010	-0.21875
187010	0.03125
188010	0.0625
189010	0.25
190010	-0.1875
191010	0.25
192010	-0.1875
193010	0.0
194010	-0.22265625
195010	0.03125
196010	0.03125
197010	0.03515625
198010	0.0625
199010	0.0
200010	0.0625
201010	0.0
202010	-0.22265625
203010	0.03125
204010	0.06640625
205010	-0.00390625
206010	0.31640625
